,,,,,Scoring,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Ryan Getzlaf,31,C,74,15,58,73,7,49,7,6,2,3,43,14,1,138,10.9,1559,21:04,5.5,2.1,7.6,88,99,509,503,50.3
2,Ryan Kesler,32,C,82,22,36,58,8,83,14,8,0,2,24,12,0,186,11.8,1747,21:18,4.1,2.4,6.5,75,146,1029,764,57.4
3,Corey Perry,31,RW,82,19,34,53,2,76,14,5,0,3,19,15,0,215,8.8,1453,17:43,4,1.8,5.8,35,81,7,13,35
4,Rickard Rakell,23,C,71,33,18,51,10,12,28,5,0,10,11,7,0,177,18.6,1234,17:23,6,1.9,7.8,32,81,62,85,42.2
5,Jakob Silfverberg,26,RW,79,23,26,49,10,20,17,5,1,5,22,4,0,227,10.1,1460,18:29,4,2.1,6.1,46,47,1,6,14.3
6,Cam Fowler,25,D,80,11,28,39,7,20,5,5,1,3,17,10,1,186,5.9,1988,24:51:00,3.1,5.2,8.3,134,29,0,0,
7,Andrew Cogliano,29,LW,82,16,19,35,11,26,13,0,3,2,18,0,1,178,9,1241,15:08,2.2,1.9,4.2,27,76,8,10,44.4
8,Nick Ritchie,21,LW,77,14,14,28,4,62,13,1,0,3,13,1,0,149,9.4,1000,12:59,1.9,1.3,3.2,24,247,4,4,50
9,Antoine Vermette,34,C,72,9,19,28,-7,42,4,5,0,1,13,6,0,88,10.2,1145,15:54,0.9,1.1,2,45,51,744,451,62.3
10,Sami Vatanen,25,D,71,3,21,24,3,30,1,2,0,0,9,12,0,117,2.6,1538,21:40,1.1,3.8,4.9,128,75,0,0,
11,Hampus Lindholm,23,D,66,6,14,20,13,36,5,1,0,2,10,4,0,94,6.4,1482,22:27,1.1,4.5,5.6,94,98,2,0,100
12,Josh Manson,25,D,82,5,12,17,14,82,4,0,1,1,11,0,1,88,5.7,1527,18:38,0.6,4.7,5.3,79,227,0,0,
13,Ondrej Kase,21,RW,53,5,10,15,-1,18,5,0,0,2,10,0,0,77,6.5,625,11:47,0.5,0.7,1.2,14,42,1,6,14.3
14,Patrick Eaves,32,RW,20,11,3,14,8,8,9,2,0,1,3,0,0,55,20,314,15:42,1.9,0.7,2.6,11,29,0,0,
15,Kevin Bieksa,35,D,81,3,11,14,0,63,2,1,0,1,9,2,0,94,3.2,1519,18:45,0,3.5,3.5,100,173,0,0,
16,Joseph Cramarossa,24,LW,49,4,6,10,1,51,4,0,0,1,4,0,2,26,15.4,481,9:49,0.2,0.6,0.8,22,108,6,1,85.7
17,Logan Shaw,25,RW,55,3,7,10,3,10,2,0,1,1,6,0,1,59,5.1,534,9:43,0,0.8,0.7,18,62,55,90,37.9
18,Shea Theodore,21,D,34,2,7,9,-6,28,1,1,0,1,5,1,1,60,3.3,589,17:19,0.5,0.9,1.4,30,14,0,0,
19,Chris Wagner,25,C,43,6,1,7,2,6,6,0,0,0,1,0,0,40,15,402,9:21,0.3,0.6,0.9,24,112,62,86,41.9
20,Korbinian Holzer,28,D,32,2,5,7,0,23,2,0,0,0,5,0,0,14,14.3,432,13:31,0.5,1,1.5,34,71,0,0,
21,Brandon Montour,22,D,27,2,4,6,11,14,2,0,0,0,3,1,0,50,4,469,17:23,0.3,2,2.3,24,21,0,0,
22,Ryan Garbutt,31,LW,27,2,1,3,-3,20,2,0,0,1,0,0,1,26,7.7,247,9:10,-0.1,0.2,0,12,53,7,4,63.6
23,Clayton Stoner,31,D,14,1,2,3,0,28,1,0,0,0,2,0,0,16,6.3,246,17:33,0.1,0.6,0.7,17,35,0,0,
24,Jared Boll,30,RW,51,0,3,3,-3,87,0,0,0,0,3,0,0,13,0,297,5:49,-0.5,0.2,-0.3,14,68,0,1,0
25,Stefan Noesen,23,RW,12,2,0,2,2,2,2,0,0,0,0,0,0,12,16.7,79,6:33,0.2,0.2,0.4,1,10,21,34,38.2
26,Nate Thompson,32,C,30,1,1,2,4,14,1,0,0,0,1,0,0,19,5.3,312,10:23,-0.5,0.5,0,9,69,130,115,53.1
27,Michael Sgarbossa,24,C,9,0,2,2,-2,0,0,0,0,0,1,1,0,7,0,85,9:28,0,0,0,4,6,34,47,42
28,John Gibson,23,G,52,0,1,1,0,4,0,0,0,0,1,0,0,0,,2950,56:44:00,0,0,10.3,0,2,0,0,
29,Nick Sorensen,22,RW,5,0,1,1,-1,2,0,0,0,0,1,0,0,7,0,54,10:53,0,0,0,3,2,1,0,100
30,Jonathan Bernier,28,G,39,0,0,0,0,4,0,0,0,0,0,0,0,0,,1993,51:06:00,0,0,6,0,0,0,0,
31,Simon Despres,25,D,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,16:08,0,0,0,1,1,0,0,
32,Emerson Etem,24,LW,3,0,0,0,1,2,0,0,0,0,0,0,0,0,,26,8:48,-0.1,0.1,0,0,4,0,1,0
33,Nicolas Kerdiles,23,LW,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,11,11:08,0,0.1,0,2,0,1,0,100
34,Kalle Kossila,23,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,6:54,0,0,0,0,1,3,4,42.9
35,Jacob Larsson,19,D,4,0,0,0,-1,2,0,0,0,0,0,0,0,2,0,66,16:26,-0.1,0.1,0,1,1,0,0,
36,Jaycob Megna,24,D,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,15,15:20,0,0.1,0.1,0,0,0,0,
37,Mason Raymond,31,LW,4,0,0,0,-2,0,0,0,0,0,0,0,0,3,0,36,8:55,-0.1,0,-0.1,0,3,0,1,0
38,Dustin Tokarski,27,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,9:47,0,0,0.1,,0,,,
39,Corey Tropp,27,RW,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,9:28,0,0,-0.1,0,2,0,0,
,Team Total,,,82,220,364,584,96,924,164,47,9,43,265,90,9,2425,9.1,,,37.3,45.7,99.4,1148,2146,2687,2226,54.7
